customer_id,total_orders,total_sales,total_quantity,last_order_date,avg_order_value,recency_days,first_name,last_name,phone,email,street,city,state,zip_code,cluster
1,3,27888.1834,17,2016-09-12,9296.061133333335,816.0,Debra,Burks,,debra.burks@yahoo.com,9273 Thorne Ave.,Orchard Park,NY,14127,0
2,3,19329.0849,15,2018-09-04,6443.028300000001,94.0,Kasha,Todd,,kasha.todd@yahoo.com,910 Vine Street,Campbell,CA,95008,0
3,3,24051.5279,19,2018-06-04,8017.175966666667,186.0,Tameka,Fisher,,tameka.fisher@aol.com,769C Honey Creek St.,Redondo Beach,CA,90278,0
4,3,21150.8927,13,2017-07-02,7050.297566666667,523.0,Daryl,Spence,,daryl.spence@aol.com,988 Pearl Lane,Uniondale,NY,11553,0
5,3,17520.2919,13,2016-10-06,5840.0973,792.0,Charolette,Rice,(916) 381-6003,charolette.rice@msn.com,107 River Dr.,Sacramento,CA,95820,0
6,3,32675.072500000006,16,2018-06-09,10891.690833333336,181.0,Lyndsey,Bean,,lyndsey.bean@hotmail.com,769 West Road,Fairport,NY,14450,0
7,3,7147.1629,6,2016-03-03,2382.3876333333333,1009.0,Latasha,Hays,(716) 986-3359,latasha.hays@hotmail.com,7014 Manor Station Rd.,Buffalo,NY,14215,0
8,3,2201.6567,5,2018-12-04,733.8855666666667,3.0,Jacquline,Duncan,,jacquline.duncan@yahoo.com,15 Brown St.,Jackson Heights,NY,11372,0
9,3,24433.8818,13,,8144.627266666666,9999.0,Genoveva,Baldwin,,genoveva.baldwin@msn.com,8550 Spruce Drive,Port Washington,NY,11050,0
10,3,33634.2604,18,2017-07-04,11211.420133333333,521.0,Pamelia,Newman,,pamelia.newman@gmail.com,476 Chestnut Ave.,Monroe,NY,10950,0
11,3,3690.2361,7,2018-09-02,1230.0787,96.0,Deshawn,Mendoza,,deshawn.mendoza@yahoo.com,8790 Cobblestone Street,Monsey,NY,10952,0
12,3,24305.1394,12,2016-06-03,8101.713133333334,917.0,Robby,Sykes,(516) 583-7761,robby.sykes@hotmail.com,486 Rock Maple Street,Hempstead,NY,11550,0
13,3,14774.4583,13,2018-12-04,4924.819433333333,3.0,Lashawn,Ortiz,,lashawn.ortiz@msn.com,27 Washington Rd.,Longview,TX,75604,0
14,3,15766.7006,13,2016-05-08,5255.566866666667,943.0,Garry,Espinoza,,garry.espinoza@hotmail.com,7858 Rockaway Court,Forney,TX,75126,0
15,3,9586.801800000001,10,2018-02-04,3195.6006,306.0,Linnie,Branch,,linnie.branch@gmail.com,314 South Columbia Ave.,Plattsburgh,NY,12901,0
16,3,31925.8857,19,2018-09-04,10641.9619,94.0,Emmitt,Sanchez,(212) 945-8823,emmitt.sanchez@hotmail.com,461 Squaw Creek Road,New York,NY,10002,0
17,3,5275.326999999999,10,2016-06-07,1758.4423333333332,913.0,Caren,Stephens,,caren.stephens@msn.com,914 Brook St.,Scarsdale,NY,10583,0
18,3,14877.289,15,2016-11-12,4959.096333333334,755.0,Georgetta,Hardin,,georgetta.hardin@aol.com,474 Chapel Dr.,Canandaigua,NY,14424,0
19,3,16739.9958,14,2017-07-11,5579.9986,514.0,Lizzette,Stein,,lizzette.stein@yahoo.com,19 Green Hill Lane,Orchard Park,NY,14127,0
20,3,11102.47,10,2018-12-04,3700.8233333333333,3.0,Aleta,Shepard,,aleta.shepard@aol.com,684 Howard St.,Sugar Land,TX,77478,0
21,3,17123.997499999998,12,2017-12-10,5707.999166666666,362.0,Tobie,Little,,tobie.little@gmail.com,10 Silver Spear Dr.,Victoria,TX,77904,0
22,2,16651.0484,12,2018-08-04,8325.5242,125.0,Adelle,Larsen,,adelle.larsen@gmail.com,683 West Kirkland Dr.,East Northport,NY,11731,0
23,2,4775.9635,4,2018-01-04,2387.98175,337.0,Kaylee,English,,kaylee.english@msn.com,8786 Fulton Rd.,Hollis,NY,11423,2
24,3,14199.9558,16,2017-01-10,4733.3186,696.0,Corene,Wall,,corene.wall@msn.com,9601 Ocean Rd.,Atwater,CA,95301,0
25,2,14529.2583,13,2018-09-04,7264.62915,94.0,Regenia,Vaughan,,regenia.vaughan@gmail.com,44 Stonybrook Street,Mahopac,NY,10541,0
26,2,9514.0705,10,2018-11-04,4757.03525,33.0,Theo,Reese,(562) 215-2907,theo.reese@gmail.com,8755 W. Wild Horse St.,Long Beach,NY,11561,0
27,2,10719.0988,11,2018-01-04,5359.5494,337.0,Santos,Valencia,,santos.valencia@yahoo.com,7479 Carpenter Street,Sunnyside,NY,11104,0
28,2,19992.8648,15,,9996.4324,9999.0,Jeanice,Frost,,jeanice.frost@hotmail.com,76 Devon Lane,Ossining,NY,10562,0
29,2,11979.9467,6,,5989.97335,9999.0,Syreeta,Hendricks,,syreeta.hendricks@msn.com,193 Spruce Road,Mahopac,NY,10541,0
30,3,10355.390800000001,14,2016-03-08,3451.7969333333335,1004.0,Jamaal,Albert,,jamaal.albert@gmail.com,853 Stonybrook Street,Torrance,CA,90505,0
31,3,19756.6432,15,2018-06-04,6585.547733333333,186.0,Williemae,Holloway,(510) 246-8375,williemae.holloway@msn.com,69 Cypress St.,Oakland,CA,94603,0
32,3,18037.285,10,2018-10-04,6012.428333333333,64.0,Araceli,Golden,,araceli.golden@msn.com,12 Ridgeview Ave.,Fullerton,CA,92831,0
33,3,19043.9036,11,2018-11-07,6347.967866666667,30.0,Deloris,Burke,,deloris.burke@hotmail.com,895 Edgemont Drive,Palos Verdes Peninsula,CA,90274,0
34,2,11035.7581,6,,5517.87905,9999.0,Brittney,Woodward,,brittney.woodward@aol.com,960 River St.,East Northport,NY,11731,0
35,2,22061.0729,14,2018-02-04,11030.53645,306.0,Guillermina,Noble,,guillermina.noble@msn.com,6 Del Monte Lane,Baldwinsville,NY,13027,0
36,2,6079.943,6,2016-07-07,3039.9715,883.0,Bernita,Mcdaniel,,bernita.mcdaniel@hotmail.com,2 Peg Shop Ave.,Liverpool,NY,13090,2
